批次	英文(机翻侧)	机翻译文	英文(库内侧)	官方译文
long-001	Accept Certificate Thumbprint	Zertifikat-Fingerabdruck akzeptieren	Accept certificate thumbprint:	Fingerabdruck des Zertifikats akzeptieren
long-001	Add new and existing hosts to your cluster	Neue und vorhandene Hosts zu Ihrem Cluster hinzufügen	Add new and existing hosts to your cluster.	Fügen Sie Ihrem Cluster neue und bereits bestehende Hosts hinzu.
long-002	Allow Reduced Redundancy	Reduzierte Redundanz zulassen	Allow reduced redundancy	Verringerte Redundanz zulassen
long-002	App Heartbeats Detected	App-Heartbeats erkannt	App Heartbeats detected	App-Taktsignale erkannt
long-002	Apply Storage DRS Recommendations	Storage DRS-Empfehlungen anwenden	Apply Storage DRS recommendations	Storage DRS-Empfehlungen übernehmen
long-004	Checks if the vSAN performance service network diagnostic mode is enabled. This alarm is triggered when the network diagnostic mode is enabled for more than 24 hours	Überprüft, ob der Netzwerkdiagnosemodus des vSAN-Leistungsdiensts aktiviert ist. Dieser Alarm wird ausgelöst, wenn der Netzwerkdiagnosemodus länger als 24 Stunden aktiviert ist	"Checks if the vSAN performance service network diagnostic mode is enabled. This alarm is triggered when the network diagnostic mode is enabled for more than 24 hours".	„Überprüft, ob der Netzwerkdiagnosemodus für den vSAN-Leistungsdienst aktiviert ist. Dieser Alarm wird ausgelöst, wenn der Netzwerkdiagnosemodus länger als 24 Stunden aktiviert ist.“
long-005	Configuration Baseline	Konfigurationsbaseline	Configuration baseline	Konfigurations-Baseline
long-008	Destination Datastore	Ziel-Datenspeicher	Destination datastore	Zieldatenspeicher
long-008	Destination Resource Pool	Ziel-Ressourcenpool	Destination resource pool	Zielressourcenpool
long-009	Disable DPM on the Cluster	DPM auf dem Cluster deaktivieren	Disable DPM on the cluster.	Deaktivieren Sie DPM auf dem Cluster.
long-009	Disable DPM on the cluster	DPM auf dem Cluster deaktivieren	Disable DPM on the cluster.	Deaktivieren Sie DPM auf dem Cluster.
long-009	Disable HA Admission Control	HA-Zugangssteuerung deaktivieren	Disable HA admission control.	Deaktivieren Sie die HA-Zugangssteuerung.
long-009	Disable HA admission control	HA-Zugangssteuerung deaktivieren	Disable HA admission control.	Deaktivieren Sie die HA-Zugangssteuerung.
long-009	Do not use CHAP unless required by target	CHAP nur verwenden, wenn vom Ziel gefordert	Do Not Use Chap Unless Required By Target	CHAP nicht verwenden, sofern nicht vom Ziel benötigt
