批次	英文(机翻侧)	机翻译文	英文(库内侧)	官方译文
long-001	Accept Certificate Thumbprint	Accetta identificazione personale del certificato	Accept certificate thumbprint:	Accettare l'identificazione personale del certificato:
long-002	App Heartbeats Detected	Heartbeat dell'applicazione rilevati	App Heartbeats detected	Heartbeat app rilevati
long-002	Apply Storage DRS Recommendations	Applica i consigli di Storage DRS	Apply Storage DRS recommendations	Applica i consigli Storage DRS
long-003	Attach Host Profile...	Collega profilo host...	Attach host profile	Allega profilo host
long-003	Auto-policy management	Gestione automatica dei criteri	Auto-Policy management	Gestione criteri automatici
long-004	Change Download Source	Modifica origine di download	Change download source	Modifica origine download
long-004	Check Out VM Template	Estrai il modello di macchina virtuale	Check-out VM template	Estrai modello macchina virtuale
long-006	Create a Datastore Cluster	Crea un cluster di datastore	Create a datastore cluster	Crea un cluster datastore
long-007	Data at Rest Encryption	Crittografia dei dati inattivi	Data at rest encryption	Crittografia di dati inattivi
long-009	Disable DPM on the Cluster	Disabilita DPM nel cluster	Disable DPM on the cluster.	Disabilitare DPM nel cluster.
long-009	Disable DPM on the cluster	Disabilita DPM nel cluster	Disable DPM on the cluster.	Disabilitare DPM nel cluster.
long-009	Disable HA Admission Control	Disabilita il controllo ammissione HA	Disable HA admission control.	Disabilitare il controllo ammissione HA.
long-009	Disable HA admission control	Disabilita il controllo ammissione HA	Disable HA admission control.	Disabilitare il controllo ammissione HA.
long-009	Disable Lockdown Mode	Disabilita modalità di blocco	Disable lockdown mode	Disabilita modalità blocco
long-011	Enable vSAN File Service	Abilita servizio file di vSAN	Enable vSAN file service	Abilita servizio file vSAN
long-011	Enable vSAN Performance Service	Abilita servizio prestazioni di vSAN	Enable vSAN performance service	Abilita servizio prestazioni vSAN
long-012	Export Impact Details	Esporta dettagli dell'impatto	Export impact details	Dettagli dell'impatto dell'esportazione
long-013	Get Latest Version Online	Ottieni la versione più recente online	Get latest version online	Ottieni l'ultima versione online
long-013	Guest Operation Queries	Query sulle operazioni guest	Guest operation queries	Query per operazioni guest
long-014	Host Inventory Privileges	Privilegi di inventario dell'host	Host.Inventory Privileges	Privilegi Host.Inventory
long-014	Import from Reference Host	Importa dall'host di riferimento	Import from reference host	Importa da host di riferimento
long-015	Install VMware Tools...	Installa VMware Tools...	Install VMware Tools	Installare VMware Tools
